"host","latitude","longitude"
"LOJA_XCO_SDWAN_SEAL","-23.203609120445","-45.908570742108"
"LOJA_XSG_SDWAN_SEAL","-22.820920700362","-43.045738346373"
"LOJA_XNN_SDWAN_SEAL","-5.7575163229751","-35.245991104867"
"LOJA_XPO_SDWAN_SEAL","-31.760627207218","-52.317861517279"
"LOJA_XCL_SDWAN_SEAL","-24.950409954592","-53.476331502141"
"LOJA_XPG_SDWAN_SEAL","-23.997947264183","-46.406137996623"
"LOJA_XEC_SDWAN_SEAL","-15.589944834524","-56.120392296243"
"LOJA_XPV_SDWAN_SEAL","-8.7479927309526","-63.875215046613"
"LOJA_XSU_SDWAN_SEAL","-22.957143893126","-43.176674923077"
"LOJA_XRV_SDWAN_SEAL","-17.818390099526","-50.943242229293"
"LOJA_XPF_SDWAN_SEAL","-28.270930939812","-52.385007161566"
